Count	RAM_Difference	Price_Range
9	576.0	1
14	223.0	2
15	32.0	2
15	1374.0	0
14	2038.0	0
15	428.0	1
11	1598.0	0
13	1829.0	1
14	833.0	3
11	82.0	2
13	962.0	2
11	388.0	1
12	1051.0	3
13	2142.0	0
10	870.0	2
14	1820.0	0
16	617.0	3
16	547.0	1
10	316.0	1
11	699.0	3
10	551.0	3
11	1774.0	0
11	1634.0	0
11	1395.0	3
12	1866.0	0
13	1330.0	1
15	2279.0	0
12	267.0	2
15	605.0	1
13	459.0	2
12	1361.0	3
12	317.0	2
12	1496.0	1
13	2026.0	0
15	1581.0	0
12	1248.0	3
13	1126.0	1
12	360.0	2
11	607.0	3
12	20.0	1
14	771.0	1
14	1084.0	1
13	267.0	2
12	836.0	1
10	883.0	3
12	2201.0	0
12	1043.0	3
14	1375.0	1
11	758.0	3
11	1553.0	0
12	35.0	2
14	809.0	1
11	115.0	2
8	1143.0	3
13	354.0	2
13	1195.0	3
9	679.0	3
16	313.0	3
14	1193.0	0
12	1374.0	1
10	1526.0	0
13	1167.0	1
12	475.0	2
13	179.0	2
9	917.0	1
9	144.0	1
10	1537.0	0
13	890.0	1
16	403.0	2
14	1319.0	0
11	165.0	2
12	1050.0	2
12	966.0	1
13	212.0	2
16	2345.0	0
14	330.0	2
14	1008.0	1
11	770.0	3
13	492.0	1
10	2311.0	0
14	279.0	2
13	1743.0	0
14	2165.0	0
11	288.0	2
9	911.0	1
14	1839.0	0
15	260.0	2
9	988.0	1
10	13.0	2
14	1462.0	1
14	1212.0	1
12	1784.0	0
12	869.0	3
12	1481.0	0
13	779.0	1
14	1085.0	1
15	173.0	2
15	389.0	2
14	2158.0	0
15	526.0	3
13	868.0	0
12	1107.0	1
12	706.0	2
10	216.0	3
12	1189.0	0
15	1186.0	0
16	1296.0	3
11	759.0	3
10	1982.0	0
11	538.0	3
14	1448.0	1
12	536.0	2
17	423.0	1
11	667.0	1
14	1523.0	0
8	848.0	3
15	550.0	2
13	204.0	1
15	402.0	1
15	1104.0	3
12	2016.0	0
14	1391.0	0
13	1096.0	0
11	1517.0	0
16	75.0	2
17	280.0	2
13	1338.0	3
12	2009.0	0
14	1009.0	3
14	1940.0	0
14	904.0	1
15	1380.0	0
14	2347.0	0
10	434.0	1
15	2278.0	0
12	355.0	2
12	668.0	3
15	629.0	1
11	305.0	2
10	1012.0	1
14	635.0	3
10	179.0	2
14	1987.0	0
11	1662.0	1
12	1977.0	0
11	2071.0	0
11	1952.0	0
9	1833.0	0
10	1221.0	1
13	1345.0	1
16	1311.0	3
12	409.0	2
11	1114.0	1
12	917.0	3
16	2114.0	0
12	885.0	3
13	1197.0	3
11	1101.0	3
11	601.0	3
13	849.0	1
12	1179.0	0
15	323.0	2
15	1308.0	0
18	960.0	3
9	1619.0	0
12	2287.0	0
14	1032.0	3
13	541.0	3
13	633.0	1
10	370.0	3
12	2249.0	0
11	659.0	3
13	763.0	3
12	1282.0	0
18	1947.0	0
9	1784.0	0
11	133.0	3
14	540.0	3
10	982.0	3
12	737.0	1
13	1436.0	0
12	378.0	2
14	145.0	2
13	529.0	3
11	1559.0	0
15	266.0	2
12	1267.0	1
13	374.0	2
14	915.0	3
13	2148.0	0
11	481.0	2
11	454.0	3
13	1997.0	1
16	1478.0	1
11	1354.0	1
14	752.0	1
12	1762.0	0
12	1073.0	3
13	1311.0	3
12	2048.0	0
15	794.0	2
14	823.0	1
16	1269.0	1
11	1369.0	0
10	725.0	1
9	465.0	3
11	271.0	2
13	1974.0	0
15	376.0	1
11	1294.0	1
12	292.0	2
14	1937.0	0
14	243.0	2
11	733.0	1
9	1712.0	0
17	1451.0	1
12	1949.0	0
12	469.0	3
10	49.0	2
9	166.0	2
14	1005.0	1
13	607.0	3
15	962.0	1
13	1081.0	3
11	1163.0	1
10	705.0	1
13	1385.0	1
14	746.0	1
11	2288.0	0
15	752.0	3
14	325.0	2
13	986.0	1
12	885.0	3
13	582.0	2
12	1533.0	1
12	2191.0	0
11	5.0	1
12	566.0	2
12	684.0	1
13	1259.0	0
15	780.0	3
11	574.0	1
14	44.0	2
16	345.0	2
10	1672.0	0
9	2092.0	0
14	151.0	2
14	2186.0	0
12	1173.0	2
15	1613.0	1
10	1036.0	1
14	231.0	2
13	475.0	2
10	1374.0	0
16	1685.0	0
8	690.0	1
14	1238.0	1
13	1765.0	0
11	187.0	2
13	350.0	1
11	493.0	2
14	2306.0	0
15	341.0	2
12	1428.0	0
12	2151.0	0
10	931.0	3
9	2090.0	0
14	537.0	1
11	1242.0	3
13	1244.0	3
13	630.0	3
11	714.0	3
16	668.0	3
11	1171.0	3
12	1200.0	0
12	5.0	2
12	1508.0	0
13	2280.0	0
13	880.0	3
12	974.0	3
11	350.0	1
15	910.0	1
14	1066.0	3
12	5.0	2
13	395.0	2
15	1092.0	3
12	1915.0	0
14	1878.0	0
14	125.0	2
11	605.0	3
12	680.0	3
15	1382.0	1
9	2061.0	0
10	1063.0	1
15	147.0	2
14	419.0	3
16	2008.0	0
13	1319.0	3
17	29.0	2
12	241.0	2
10	878.0	3
14	1016.0	1
13	1327.0	3
13	1022.0	3
10	222.0	2
15	1034.0	3
12	963.0	2
12	886.0	2
11	165.0	3
11	1933.0	0
14	1057.0	3
12	362.0	2
11	820.0	2
11	1360.0	1
13	2186.0	0
