Count	RAM_Difference	Price_Range
12	1459.0	1
13	2258.0	2
13	2067.0	2
12	661.0	0
10	3.0	0
13	1607.0	1
13	437.0	0
11	206.0	1
12	2868.0	3
15	1953.0	2
13	2997.0	2
12	1647.0	1
10	3086.0	3
14	107.0	0
13	1165.0	2
14	215.0	0
14	2652.0	3
16	1488.0	1
15	1719.0	1
13	2734.0	3
12	2586.0	3
13	261.0	0
14	401.0	0
13	3430.0	3
15	169.0	0
13	705.0	1
9	244.0	0
15	1768.0	2
10	1430.0	1
13	1576.0	2
12	3396.0	3
15	1718.0	2
16	539.0	1
15	9.0	0
16	454.0	0
11	3283.0	3
12	909.0	1
15	1675.0	2
11	2642.0	3
15	2015.0	1
13	1264.0	1
15	951.0	1
10	2302.0	2
9	1199.0	1
12	2918.0	3
17	166.0	0
11	3078.0	3
14	660.0	1
14	2793.0	3
14	482.0	0
7	2070.0	2
12	1226.0	1
17	1920.0	2
14	3178.0	3
11	1681.0	2
10	3230.0	3
14	2714.0	3
12	2348.0	3
13	842.0	0
14	661.0	1
11	509.0	0
15	868.0	1
15	2510.0	2
12	2214.0	2
11	1118.0	1
13	1891.0	1
13	498.0	0
9	1145.0	1
11	2438.0	2
8	716.0	0
17	1870.0	2
13	3085.0	2
14	1069.0	1
9	1823.0	2
12	310.0	0
13	1705.0	2
14	1027.0	1
13	2805.0	3
15	1543.0	1
12	276.0	0
14	1756.0	2
12	292.0	0
14	130.0	0
15	1747.0	2
12	1124.0	1
12	196.0	0
12	1775.0	2
16	1047.0	1
9	2048.0	2
12	573.0	1
9	823.0	1
14	251.0	0
13	2904.0	3
12	554.0	0
13	1256.0	1
13	950.0	1
10	1862.0	2
14	2424.0	2
14	123.0	0
13	2561.0	3
12	1167.0	0
11	928.0	1
14	1329.0	2
8	2251.0	3
14	846.0	0
14	849.0	0
14	3331.0	3
11	2794.0	3
12	53.0	0
10	2573.0	3
9	587.0	1
10	2571.0	2
11	1612.0	1
12	1368.0	1
15	512.0	0
12	2883.0	3
13	2585.0	2
12	1831.0	1
11	1633.0	1
15	3139.0	3
11	19.0	0
15	644.0	0
14	939.0	0
13	518.0	0
15	2110.0	2
11	1755.0	2
15	3373.0	3
15	26.0	0
13	3044.0	3
14	95.0	0
10	1131.0	1
11	655.0	0
12	312.0	0
14	1601.0	1
16	243.0	0
15	1680.0	2
11	2703.0	3
11	1406.0	1
15	2340.0	2
11	1023.0	1
11	2670.0	3
12	1856.0	2
13	48.0	0
15	373.0	1
13	58.0	0
11	36.0	0
14	83.0	0
14	202.0	0
11	814.0	1
15	690.0	1
12	3346.0	3
13	2444.0	2
10	921.0	1
14	2952.0	3
13	79.0	0
12	2920.0	3
15	3232.0	3
7	3136.0	3
12	2636.0	3
11	1186.0	1
11	856.0	0
15	1712.0	2
11	727.0	0
12	2995.0	3
12	416.0	0
15	252.0	0
18	3067.0	3
17	2576.0	3
13	1402.0	1
13	2405.0	3
12	214.0	0
10	2694.0	3
14	2798.0	3
11	753.0	0
14	88.0	0
10	251.0	0
14	1902.0	3
11	2575.0	3
10	3017.0	3
8	1298.0	1
15	599.0	0
